epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,2.52489,38.93817,63.79793,2.14331,46.68000,75.36000
002,1.66457,57.61023,80.74225,4.60148,11.64000,27.16000
003,1.47461,62.16446,83.45207,3.31736,31.94000,56.38000
004,1.36619,64.86578,85.04691,1.47084,62.76000,84.38000
005,1.29233,66.72411,86.14258,5.45908,8.52000,23.20000
006,1.21916,68.51288,87.09376,4.41081,20.98000,43.62000
007,1.15903,69.96245,87.98621,4.98005,14.76000,35.12000
008,1.12004,70.97004,88.41428,3.47435,33.48000,55.02000
009,1.07402,72.04871,89.11975,3.29510,28.22000,50.34000
010,1.03423,72.99294,89.58183,6.73026,18.32000,40.26000
011,1.00259,73.81895,89.95889,3.79863,32.34000,57.68000
012,0.96536,74.77013,90.40474,3.05702,34.68000,58.38000
013,0.92719,75.69426,90.95721,4.91563,25.50000,46.14000
